#离子类型提取自MS-Dial，Mona MS等公开库，以及老版本的自建库
#后续将继续在无法识别的precursor中继续丰富precursor type
#判断两个加合离子峰是否相同的依据
#       type的分子式一致和电荷一致，注意M的系数也应该一致
#       在人工识别重复时，可先根据offset是否一致判断
ionmode,type,offset,n,charge,comment
Negative,[M+MeOH-H]-,31.01839,1,1,
Positive,[M+CH3OH+H]+,33.03404,1,1,
Positive,[M-CHO2+Br]+,33.92069,1,1,
Negative,[2M+Cl]-,34.96885,2,1,
Negative,[M+Cl]-,34.96885,1,1,
Negative,[M+H2O+H2O]-,36.02113,1,1,
Positive,[M+H2O+NH4]+,36.04494,1,1,
Negative,[M+K-2H]-,36.94806,1,1,
Positive,[2M+Ca-H]+,38.95476,2,1,
Positive,[3M+Ca-H]+,38.95476,3,1,
Positive,[M+Ca-H]+,38.95476,1,1,
Positive,[2M+K]+,38.96371,2,1,
Positive,[3M+K]+,38.96371,3,1,
Positive,[M+K]+,38.96371,1,1,
Positive,[2M+Ca]2+,39.96259,2,2,
Positive,[3M+Ca]2+,39.96259,3,2,
Positive,[M+Ca]2+,39.96259,1,2,
Positive,[M+H+K]2+,39.97153,1,2,
Positive,[M+H2O+Na]+,41.00033,1,1,
Positive,[2M+ACN+H]+,42.03437,2,1,
Positive,[M+ACN+H]+,42.03437,1,1,
Positive,[M-C2H3O]+,43.01839,1,1,
Positive,[M+ACN+2H]2+,43.0422,1,2,
Negative,[2M+HCOO-H]-,43.98983,2,1,
Negative,[M+HCOO-H]-,43.98983,1,1,
Positive,[2M-H+2Na]+,44.97171,2,1,
Positive,[M-H+2Na]+,44.97171,1,1,
Negative,[2M+HCOO]-,44.99765,2,1,
Negative,[M+HCOO]-,44.99765,1,1,
Positive,[M+2Na]+,45.97954,1,1,
Positive,[M+2Na]2+,45.97954,1,2,
Positive,[M+HCOO+H]+,46.00548,1,1,
Positive,[M+H+2Na]3+,46.98736,1,3,
Positive,[M+MeOH+NH4]+,50.06059,1,1,
Negative,[M+ACN-H]-,52.01872,1,1,
Positive,[M+MeOH+Na]+,55.01598,1,1,
Positive,[2M+3H2O+2H]+,56.04734,2,1,
Positive,[M+H2O+K]+,56.97427,1,1,
Negative,[2M+CH3COO]-,59.0133,2,1,
Negative,[M+CH3COO]-,59.0133,1,1,
Negative,[M+iPrOH-H]-,59.04969,1,1,
Positive,[M+CH3COOH+H]+,61.02895,1,1,
Positive,[M+iPrOH+H]+,61.06534,1,1,
Positive,[M-HO+Br]+,61.9156,1,1,
Negative,[M+ACN+Na-2H]-,62.00067,1,1,
Positive,[M+HCOO+NH4]+,63.03203,1,1,
Positive,[2M+ACN+Na]+,64.01632,2,1,
Positive,[M+ACN+Na]+,64.01632,1,1,
Negative,[M+MeOH+MeOH]-,64.05243,1,1,
Positive,[M+HCOO+Na]+,67.98742,1,1,
Positive,[M+3Na]+,68.96931,1,1,
Positive,[M+3Na]3+,68.96931,1,3,
Positive,[M+MeOH+K]+,70.98992,1,1,
Positive,[M+ACN+NH4]+,71.06092,1,1,
Positive,[M+2K-H]+,76.91959,1,1,
